Date,0,1,2,3,,ls,amount,exp,NET,eod,pnl,commision,acc,strat,,,,6.64
2015+AC0-09+AC0-01,0.2026,0.0348,0.0968,0.6658,,,,,,,,,12000,,+AC0-8.13+ACU-,,,6.1
2015+AC0-09+AC0-02,0.395145373377411,0.11613171752841,0.164443994337034,0.324278922859651,,1,2500,2500,0.208,2442.62295081967,+AC0-57.3770491803275,+AC0-1,+ACI-+ACQ-11,941.62+ACI-,+AC0-0.48+ACU-,+AC0-2.30+ACU-,,,5.96
2015+AC0-09+AC0-03,0.340488275441341,0.151339974595938,0.079127549703139,0.429044199048863,,,,2442.62295081967,0.205,2311.47540983607,+AC0-131.147540983607,0,+ACI-+ACQ-11,810.48+ACI-,+AC0-1.10+ACU-,+AC0-5.37+ACU-,,,5.64
2015+AC0-09+AC0-04,0.08959326960042,0.221410754545272,0.276722446411478,0.412273536148352,,,,2311.47540983607,0.196,2336.06557377049,24.5901639344265,0,+ACI-+ACQ-11,835.07+ACI-,0.21+ACU-,1.06+ACU-,,,5.7
2015+AC0-09+AC0-08,0.175749977147075,0.27536952938799,0.180841248318864,0.368039258370852,,1,2500,4836.06557377049,0.409,4971.81478285879,135.749209088295,+AC0-1,+ACI-+ACQ-11,969.81+ACI-,1.15+ACU-,2.81+ACU-,,,5.86
2015+AC0-09+AC0-09,0.368178430870579,0.158127761506094,0.185085639902522,0.288608180014263,,1,1000,5971.81478285879,0.499,5462.27427237596,+AC0-509.540510482832,+AC0-1,+ACI-+ACQ-11,459.27+ACI-,+AC0-4.26+ACU-,+AC0-8.53+ACU-,,,5.36
2015+AC0-09+AC0-10,0.108562346661714,0.264303564961763,0.101718009090075,0.525416087854615,,+AC0-1,2500,2962.27427237596,0.259,2940.16774795524,+AC0-22.1065244207161,+AC0-1,+ACI-+ACQ-11,436.17+ACI-,+AC0-0.19+ACU-,+AC0-0.75+ACU-,,,5.32
2015+AC0-09+AC0-11,0.347551991367625,0.090138191631938,0.307169486935791,0.255140333044878,,1,2500,5440.16774795524,0.476,5542.42654021004,102.258792254798,+AC0-1,+ACI-+ACQ-11,537.43+ACI-,0.89+ACU-,1.88+ACU-,,,5.42
2015+AC0-09+AC0-14,0.103248608197296,0.285115097767007,0.263733983741839,0.347902314205413,,,,5542.42654021004,0.480,5378.81247260236,+AC0-163.614067607677,0,+ACI-+ACQ-11,373.81+ACI-,+AC0-1.42+ACU-,+AC0-2.95+ACU-,,,5.26
2015+AC0-09+AC0-15,0.189761766149909,0.139209608445083,0.214820808231172,0.456207825742004,,,,5378.81247260236,0.473,5440.16774795524,61.3552753528784,0,+ACI-+ACQ-11,435.17+ACI-,0.54+ACU-,1.14+ACU-,,,5.32
2015+AC0-09+AC0-16,0.268152795553591,0.115428542743152,0.150416654516699,0.466002006208669,,,,5440.16774795524,0.476,6319.5933613465,879.42561339126,0,+ACI-+ACQ-12,314.59+ACI-,7.69+ACU-,16.17+ACU-,,,6.18
2015+AC0-09+AC0-17,0.152732995663644,0.136485210893584,0.213350602321875,0.497431198757742,,1,1600,7919.5933613465,0.643,8611.59666476513,692.003303418625,+AC0-1,+ACI-+ACQ-13,005.60+ACI-,5.62+ACU-,8.74+ACU-,,,6.72
