season,GameID,Date,awayTeam,homeTeam,awayMin,awayFGM,awayFGA,awayFGP,away3PM,away3PA,away3PP,awayFTM,awayFTA,awayFTP,awayOREB,awayDREB,awayREB,awayAST,awaySTL,awayBLK,awayTOV,awayPF,awayPTS,awayPTSPAINT,awayPTS2NDCHANCE,awayPTSFB,awayLARGESTLEAD,awayPTSOFFTOV,homeMin,homeFGM,homeFGA,homeFGP,home3PM,home3PA,home3PP,homeFTM,homeFTA,homeFTP,homeOREB,homeDREB,homeREB,homeAST,homeSTL,homeBLK,homeTOV,homePF,homePTS,homePTSPAINT,homePTS2NDCHANCE,homePTSFB,homeLARGESTLEAD,homePTSOFFTOV
2011-12,0021100001,2011-12-25,BOS,NYK,240:00,39.0,76.0,0.513,2.0,5.0,0.4,24.0,31.0,0.774,13.0,28.0,41.0,28.0,7.0,5.0,18.0,28.0,104.0,48.0,14.0,16.0,10.0,18.0,240:00,35.0,74.0,0.473,9.0,20.0,0.45,27.0,34.0,0.794,8.0,23.0,31.0,17.0,9.0,11.0,16.0,25.0,106.0,30.0,15.0,8.0,17.0,23.0
2011-12,0021100002,2011-12-25,DAL,MIA,240:00,31.0,82.0,0.378,9.0,28.0,0.321,23.0,30.0,0.767,8.0,23.0,31.0,23.0,10.0,0.0,17.0,29.0,94.0,28.0,8.0,10.0,0.0,25.0,240:00,38.0,78.0,0.487,4.0,7.0,0.571,25.0,36.0,0.694,15.0,36.0,51.0,18.0,9.0,6.0,22.0,28.0,105.0,44.0,10.0,31.0,35.0,29.0
2011-12,0021100003,2011-12-25,CHI,LAL,240:00,36.0,89.0,0.404,7.0,15.0,0.467,9.0,14.0,0.643,16.0,25.0,41.0,21.0,14.0,4.0,14.0,21.0,88.0,42.0,16.0,10.0,11.0,17.0,240:00,36.0,76.0,0.474,4.0,16.0,0.25,11.0,20.0,0.55,12.0,30.0,42.0,22.0,6.0,8.0,17.0,20.0,87.0,42.0,12.0,12.0,8.0,13.0
2011-12,0021100004,2011-12-25,OKC,ORL,240:00,34.0,72.0,0.472,10.0,19.0,0.526,19.0,26.0,0.731,7.0,36.0,43.0,21.0,8.0,5.0,16.0,22.0,97.0,30.0,5.0,8.0,7.0,14.0,240:00,30.0,81.0,0.37,8.0,28.0,0.286,21.0,26.0,0.808,14.0,31.0,45.0,18.0,7.0,4.0,18.0,25.0,89.0,32.0,7.0,9.0,22.0,15.0
2011-12,0021100005,2011-12-25,GSW,LAC,240:00,32.0,82.0,0.39,5.0,21.0,0.238,17.0,24.0,0.708,17.0,31.0,48.0,17.0,4.0,8.0,16.0,32.0,86.0,46.0,18.0,11.0,6.0,19.0,240:00,37.0,81.0,0.457,8.0,23.0,0.348,23.0,38.0,0.605,13.0,30.0,43.0,22.0,9.0,8.0,10.0,19.0,105.0,38.0,10.0,9.0,19.0,5.0
2011-12,0021100006,2011-12-26,NJN,WAS,240:00,34.0,86.0,0.395,6.0,26.0,0.231,16.0,20.0,0.8,18.0,40.0,58.0,17.0,7.0,3.0,15.0,26.0,90.0,28.0,16.0,2.0,8.0,19.0,240:00,31.0,74.0,0.419,1.0,7.0,0.143,21.0,34.0,0.618,8.0,31.0,39.0,13.0,8.0,7.0,11.0,17.0,84.0,38.0,6.0,12.0,21.0,12.0
2011-12,0021100007,2011-12-26,CHA,MIL,240:00,38.0,86.0,0.442,4.0,19.0,0.211,16.0,21.0,0.762,15.0,37.0,52.0,27.0,3.0,6.0,16.0,20.0,96.0,36.0,15.0,9.0,14.0,17.0,240:00,34.0,84.0,0.405,8.0,23.0,0.348,19.0,23.0,0.826,8.0,31.0,39.0,21.0,6.0,2.0,12.0,20.0,95.0,32.0,12.0,16.0,9.0,19.0
2011-12,0021100008,2011-12-26,HOU,ORL,240:00,36.0,82.0,0.439,6.0,27.0,0.222,17.0,20.0,0.85,11.0,30.0,41.0,26.0,4.0,5.0,9.0,17.0,95.0,56.0,16.0,8.0,12.0,14.0,240:00,44.0,83.0,0.53,9.0,22.0,0.409,7.0,10.0,0.7,6.0,29.0,35.0,19.0,1.0,4.0,11.0,15.0,104.0,38.0,16.0,11.0,2.0,12.0
2011-12,0021100009,2011-12-26,CLE,TOR,240:00,35.0,85.0,0.412,6.0,20.0,0.3,20.0,28.0,0.714,15.0,22.0,37.0,21.0,7.0,1.0,7.0,16.0,96.0,44.0,16.0,11.0,4.0,7.0,240:00,42.0,79.0,0.532,9.0,21.0,0.429,11.0,13.0,0.846,11.0,34.0,45.0,35.0,4.0,9.0,12.0,22.0,104.0,48.0,19.0,0.0,15.0,13.0
2011-12,0021100010,2011-12-26,DET,IND,240:00,27.0,75.0,0.36,7.0,19.0,0.368,18.0,21.0,0.857,9.0,31.0,40.0,17.0,5.0,8.0,16.0,19.0,79.0,36.0,14.0,13.0,24.0,10.0,240:00,32.0,87.0,0.368,7.0,15.0,0.467,20.0,25.0,0.8,18.0,35.0,53.0,20.0,9.0,9.0,10.0,20.0,91.0,28.0,11.0,9.0,0.0,15.0
2011-12,0021100011,2011-12-26,MIN,OKC,240:00,39.0,87.0,0.448,3.0,22.0,0.136,19.0,26.0,0.731,10.0,30.0,40.0,22.0,4.0,2.0,12.0,24.0,100.0,60.0,13.0,15.0,7.0,15.0,240:00,35.0,78.0,0.449,5.0,16.0,0.313,29.0,31.0,0.935,8.0,34.0,42.0,18.0,6.0,5.0,17.0,26.0,104.0,36.0,8.0,20.0,12.0,15.0
2011-12,0021100012,2011-12-26,DAL,DEN,240:00,32.0,76.0,0.421,8.0,27.0,0.296,21.0,27.0,0.778,5.0,32.0,37.0,19.0,11.0,3.0,19.0,28.0,93.0,34.0,8.0,12.0,3.0,26.0,240:00,39.0,79.0,0.494,10.0,27.0,0.37,27.0,34.0,0.794,10.0,37.0,47.0,18.0,15.0,3.0,15.0,18.0,115.0,40.0,10.0,20.0,33.0,14.0
2011-12,0021100013,2011-12-26,MEM,SAS,240:00,34.0,73.0,0.466,3.0,7.0,0.429,11.0,19.0,0.579,9.0,33.0,42.0,18.0,9.0,2.0,24.0,25.0,82.0,36.0,9.0,17.0,10.0,28.0,240:00,35.0,88.0,0.398,10.0,33.0,0.303,15.0,22.0,0.682,12.0,25.0,37.0,23.0,13.0,5.0,13.0,20.0,95.0,38.0,14.0,15.0,19.0,14.0
2011-12,0021100014,2011-12-26,NOH,PHX,240:00,35.0,79.0,0.443,2.0,16.0,0.125,13.0,21.0,0.619,12.0,35.0,47.0,10.0,9.0,5.0,13.0,22.0,85.0,36.0,23.0,14.0,6.0,15.0,240:00,32.0,81.0,0.395,5.0,25.0,0.2,15.0,19.0,0.789,12.0,33.0,45.0,23.0,9.0,3.0,14.0,24.0,84.0,42.0,14.0,13.0,9.0,15.0
2011-12,0021100015,2011-12-26,LAL,SAC,240:00,37.0,88.0,0.42,1.0,16.0,0.063,16.0,19.0,0.842,16.0,29.0,45.0,21.0,6.0,6.0,11.0,25.0,91.0,44.0,17.0,12.0,4.0,6.0,240:00,35.0,75.0,0.467,9.0,18.0,0.5,21.0,35.0,0.6,10.0,30.0,40.0,16.0,4.0,6.0,11.0,19.0,100.0,30.0,10.0,19.0,15.0,15.0
2011-12,0021100016,2011-12-26,PHI,POR,240:00,40.0,83.0,0.482,8.0,19.0,0.421,15.0,19.0,0.789,9.0,38.0,47.0,21.0,6.0,7.0,20.0,25.0,103.0,38.0,11.0,12.0,2.0,28.0,240:00,40.0,97.0,0.412,9.0,19.0,0.474,18.0,23.0,0.783,17.0,33.0,50.0,24.0,11.0,6.0,12.0,19.0,107.0,38.0,12.0,15.0,16.0,15.0
2011-12,0021100017,2011-12-26,CHI,GSW,240:00,34.0,82.0,0.415,8.0,24.0,0.333,15.0,22.0,0.682,14.0,33.0,47.0,16.0,3.0,3.0,20.0,21.0,91.0,32.0,14.0,17.0,2.0,22.0,240:00,36.0,77.0,0.468,4.0,15.0,0.267,23.0,31.0,0.742,7.0,29.0,36.0,22.0,16.0,5.0,10.0,19.0,99.0,42.0,2.0,20.0,19.0,7.0
2011-12,0021100018,2011-12-27,ATL,NJN,240:00,38.0,86.0,0.442,12.0,23.0,0.522,18.0,21.0,0.857,17.0,34.0,51.0,23.0,11.0,4.0,12.0,23.0,106.0,36.0,20.0,16.0,39.0,11.0,240:00,22.0,71.0,0.31,5.0,24.0,0.208,21.0,26.0,0.808,9.0,27.0,36.0,9.0,5.0,5.0,18.0,22.0,70.0,22.0,18.0,8.0,0.0,30.0
2011-12,0021100019,2011-12-27,BOS,MIA,240:00,37.0,72.0,0.514,12.0,19.0,0.632,21.0,27.0,0.778,4.0,24.0,28.0,20.0,9.0,3.0,24.0,27.0,107.0,28.0,8.0,23.0,2.0,33.0,240:00,42.0,75.0,0.56,6.0,10.0,0.6,25.0,35.0,0.714,6.0,32.0,38.0,22.0,16.0,8.0,20.0,22.0,115.0,52.0,8.0,19.0,20.0,19.0
2011-12,0021100020,2011-12-27,MIL,MIN,240:00,40.0,94.0,0.426,2.0,16.0,0.125,16.0,20.0,0.8,16.0,29.0,45.0,24.0,13.0,5.0,12.0,28.0,98.0,28.0,16.0,12.0,4.0,29.0,240:00,28.0,70.0,0.4,6.0,14.0,0.429,33.0,45.0,0.733,16.0,38.0,54.0,14.0,6.0,0.0,25.0,24.0,95.0,48.0,14.0,16.0,20.0,9.0
2011-12,0021100021,2011-12-27,POR,SAC,240:00,38.0,85.0,0.447,3.0,18.0,0.167,22.0,28.0,0.786,15.0,29.0,44.0,25.0,6.0,8.0,10.0,23.0,101.0,42.0,16.0,7.0,12.0,25.0,240:00,31.0,82.0,0.378,3.0,16.0,0.188,14.0,22.0,0.636,14.0,28.0,42.0,11.0,1.0,4.0,18.0,27.0,79.0,52.0,18.0,17.0,25.0,4.0
2011-12,0021100022,2011-12-27,LAL,UTA,240:00,30.0,71.0,0.423,6.0,16.0,0.375,30.0,37.0,0.811,11.0,35.0,46.0,17.0,8.0,9.0,9.0,21.0,96.0,36.0,14.0,16.0,5.0,11.0,240:00,29.0,90.0,0.322,1.0,13.0,0.077,12.0,17.0,0.706,18.0,28.0,46.0,20.0,6.0,6.0,10.0,28.0,71.0,32.0,7.0,16.0,29.0,17.0
2011-12,0021100023,2011-12-28,IND,TOR,240:00,32.0,81.0,0.395,7.0,16.0,0.438,19.0,22.0,0.864,12.0,29.0,41.0,20.0,10.0,2.0,16.0,16.0,90.0,32.0,12.0,10.0,2.0,16.0,240:00,36.0,79.0,0.456,6.0,15.0,0.4,7.0,13.0,0.538,10.0,29.0,39.0,21.0,13.0,5.0,19.0,25.0,85.0,34.0,22.0,9.0,14.0,13.0
2011-12,0021100024,2011-12-28,CHA,MIA,240:00,39.0,82.0,0.476,7.0,18.0,0.389,10.0,16.0,0.625,15.0,38.0,53.0,22.0,5.0,9.0,21.0,22.0,95.0,36.0,12.0,21.0,16.0,27.0,240:00,36.0,78.0,0.462,1.0,6.0,0.167,23.0,28.0,0.821,5.0,25.0,30.0,19.0,7.0,10.0,10.0,17.0,96.0,52.0,6.0,20.0,4.0,12.0
2011-12,0021100025,2011-12-28,ATL,WAS,240:00,32.0,75.0,0.427,9.0,23.0,0.391,28.0,35.0,0.8,11.0,34.0,45.0,21.0,6.0,5.0,14.0,21.0,101.0,30.0,13.0,12.0,0.0,18.0,240:00,30.0,77.0,0.39,6.0,16.0,0.375,17.0,22.0,0.773,6.0,26.0,32.0,16.0,10.0,3.0,16.0,24.0,83.0,36.0,20.0,17.0,23.0,14.0
2011-12,0021100026,2011-12-28,CLE,DET,240:00,40.0,70.0,0.571,7.0,12.0,0.583,18.0,22.0,0.818,12.0,28.0,40.0,28.0,9.0,3.0,21.0,15.0,105.0,52.0,15.0,13.0,19.0,18.0,240:00,36.0,81.0,0.444,9.0,21.0,0.429,8.0,11.0,0.727,10.0,16.0,26.0,16.0,11.0,1.0,16.0,21.0,89.0,36.0,12.0,5.0,4.0,21.0
2011-12,0021100027,2011-12-28,MEM,OKC,240:00,34.0,87.0,0.391,2.0,16.0,0.125,25.0,33.0,0.758,19.0,30.0,49.0,13.0,5.0,6.0,12.0,22.0,95.0,26.0,14.0,6.0,12.0,10.0,240:00,29.0,77.0,0.377,10.0,25.0,0.4,30.0,38.0,0.789,12.0,29.0,41.0,16.0,4.0,8.0,10.0,24.0,98.0,44.0,23.0,15.0,1.0,9.0
2011-12,0021100028,2011-12-28,BOS,NOH,240:00,29.0,78.0,0.372,7.0,17.0,0.412,13.0,18.0,0.722,13.0,24.0,37.0,16.0,4.0,12.0,12.0,22.0,78.0,24.0,11.0,10.0,7.0,13.0,240:00,36.0,79.0,0.456,4.0,12.0,0.333,21.0,25.0,0.84,12.0,36.0,48.0,16.0,7.0,12.0,9.0,20.0,97.0,46.0,21.0,7.0,21.0,13.0
2011-12,0021100029,2011-12-28,LAC,SAS,240:00,29.0,74.0,0.392,7.0,20.0,0.35,25.0,33.0,0.758,10.0,20.0,30.0,17.0,8.0,5.0,12.0,17.0,90.0,48.0,10.0,20.0,27.0,17.0,240:00,45.0,80.0,0.563,10.0,19.0,0.526,15.0,15.0,1.0,7.0,36.0,43.0,27.0,3.0,1.0,15.0,23.0,115.0,26.0,5.0,14.0,5.0,16.0
2011-12,0021100030,2011-12-28,DEN,UTA,240:00,46.0,86.0,0.535,6.0,19.0,0.316,19.0,26.0,0.731,12.0,33.0,45.0,29.0,17.0,3.0,18.0,20.0,117.0,42.0,14.0,17.0,5.0,28.0,240:00,38.0,79.0,0.481,7.0,16.0,0.438,17.0,25.0,0.68,8.0,31.0,39.0,25.0,10.0,3.0,22.0,23.0,100.0,68.0,6.0,27.0,27.0,24.0
2011-12,0021100031,2011-12-28,PHI,PHX,240:00,41.0,86.0,0.477,7.0,17.0,0.412,14.0,18.0,0.778,12.0,36.0,48.0,22.0,11.0,2.0,10.0,19.0,103.0,36.0,8.0,6.0,1.0,19.0,240:00,33.0,80.0,0.413,2.0,11.0,0.182,15.0,18.0,0.833,8.0,31.0,39.0,15.0,3.0,3.0,12.0,17.0,83.0,50.0,13.0,20.0,34.0,8.0
2011-12,0021100032,2011-12-28,GSW,NYK,240:00,35.0,77.0,0.455,6.0,16.0,0.375,16.0,24.0,0.667,11.0,36.0,47.0,20.0,12.0,4.0,14.0,17.0,92.0,44.0,13.0,8.0,19.0,10.0,240:00,28.0,70.0,0.4,4.0,21.0,0.19,18.0,25.0,0.72,4.0,27.0,31.0,15.0,7.0,0.0,15.0,21.0,78.0,32.0,7.0,24.0,8.0,23.0
2011-12,0021100033,2011-12-29,NJN,ORL,240:00,29.0,77.0,0.377,6.0,17.0,0.353,14.0,21.0,0.667,9.0,33.0,42.0,17.0,5.0,5.0,15.0,26.0,78.0,26.0,16.0,7.0,1.0,25.0,240:00,36.0,81.0,0.444,9.0,21.0,0.429,13.0,25.0,0.52,11.0,35.0,46.0,25.0,8.0,4.0,13.0,19.0,94.0,42.0,15.0,14.0,20.0,10.0
2011-12,0021100034,2011-12-29,HOU,SAS,240:00,43.0,85.0,0.506,9.0,26.0,0.346,10.0,13.0,0.769,13.0,33.0,46.0,21.0,7.0,8.0,11.0,17.0,105.0,56.0,21.0,10.0,0.0,19.0,240:00,35.0,93.0,0.376,2.0,17.0,0.118,13.0,20.0,0.65,22.0,24.0,46.0,12.0,4.0,7.0,12.0,10.0,85.0,40.0,19.0,14.0,25.0,18.0
2011-12,0021100035,2011-12-29,DAL,OKC,240:00,38.0,90.0,0.422,9.0,26.0,0.346,17.0,21.0,0.81,14.0,24.0,38.0,25.0,14.0,1.0,12.0,24.0,102.0,36.0,16.0,10.0,12.0,11.0,240:00,37.0,63.0,0.587,6.0,14.0,0.429,24.0,32.0,0.75,6.0,32.0,38.0,19.0,8.0,8.0,26.0,19.0,104.0,36.0,6.0,17.0,8.0,33.0
2011-12,0021100036,2011-12-29,CHI,SAC,240:00,43.0,80.0,0.538,6.0,12.0,0.5,16.0,21.0,0.762,8.0,33.0,41.0,25.0,6.0,5.0,18.0,27.0,108.0,54.0,14.0,33.0,15.0,23.0,240:00,35.0,83.0,0.422,8.0,17.0,0.471,20.0,34.0,0.588,18.0,24.0,42.0,13.0,8.0,2.0,14.0,19.0,98.0,48.0,22.0,14.0,3.0,15.0
2011-12,0021100037,2011-12-29,DEN,POR,240:00,35.0,87.0,0.402,4.0,20.0,0.2,28.0,33.0,0.848,3.0,27.0,30.0,17.0,16.0,2.0,7.0,20.0,102.0,40.0,11.0,11.0,13.0,29.0,240:00,41.0,79.0,0.519,8.0,20.0,0.4,21.0,23.0,0.913,7.0,43.0,50.0,20.0,3.0,9.0,25.0,25.0,111.0,54.0,11.0,28.0,4.0,10.0
2011-12,0021100038,2011-12-29,LAL,NYK,240:00,38.0,73.0,0.521,9.0,16.0,0.563,14.0,22.0,0.636,6.0,34.0,40.0,23.0,6.0,7.0,14.0,28.0,99.0,44.0,8.0,7.0,22.0,8.0,240:00,21.0,67.0,0.313,6.0,22.0,0.273,34.0,41.0,0.829,9.0,23.0,32.0,15.0,11.0,6.0,12.0,20.0,82.0,26.0,5.0,6.0,6.0,12.0
2011-12,0021100039,2011-12-30,CHA,ORL,240:00,30.0,83.0,0.361,5.0,15.0,0.333,14.0,18.0,0.778,12.0,29.0,41.0,19.0,6.0,3.0,12.0,23.0,79.0,20.0,17.0,6.0,0.0,15.0,240:00,37.0,84.0,0.44,12.0,28.0,0.429,14.0,24.0,0.583,14.0,35.0,49.0,23.0,3.0,7.0,11.0,16.0,100.0,44.0,11.0,6.0,21.0,9.0
2011-12,0021100040,2011-12-30,CLE,IND,265:00,34.0,88.0,0.386,5.0,25.0,0.2,18.0,31.0,0.581,9.0,40.0,49.0,13.0,7.0,9.0,18.0,28.0,91.0,44.0,16.0,13.0,8.0,7.0,265:00,36.0,94.0,0.383,2.0,10.0,0.2,24.0,32.0,0.75,17.0,43.0,60.0,15.0,9.0,10.0,16.0,27.0,98.0,52.0,21.0,10.0,11.0,17.0
2011-12,0021100041,2011-12-30,BOS,DET,240:00,35.0,67.0,0.522,7.0,16.0,0.438,19.0,19.0,1.0,5.0,25.0,30.0,25.0,4.0,6.0,10.0,18.0,96.0,38.0,17.0,5.0,2.0,17.0,240:00,34.0,79.0,0.43,3.0,16.0,0.188,14.0,15.0,0.933,12.0,23.0,35.0,18.0,3.0,0.0,9.0,14.0,85.0,32.0,4.0,11.0,25.0,18.0
2011-12,0021100042,2011-12-30,ATL,NJN,240:00,37.0,77.0,0.481,4.0,15.0,0.267,27.0,38.0,0.711,15.0,23.0,38.0,22.0,7.0,6.0,12.0,15.0,105.0,40.0,21.0,10.0,5.0,17.0,240:00,38.0,82.0,0.463,9.0,20.0,0.45,13.0,14.0,0.929,15.0,25.0,40.0,20.0,7.0,2.0,13.0,26.0,98.0,50.0,17.0,13.0,9.0,8.0
2011-12,0021100043,2011-12-30,HOU,MEM,240:00,34.0,79.0,0.43,11.0,29.0,0.379,14.0,18.0,0.778,6.0,27.0,33.0,19.0,9.0,4.0,19.0,29.0,93.0,36.0,4.0,14.0,5.0,20.0,240:00,45.0,80.0,0.563,0.0,5.0,0.0,23.0,33.0,0.697,7.0,35.0,42.0,23.0,10.0,7.0,16.0,19.0,113.0,56.0,15.0,20.0,25.0,18.0
2011-12,0021100044,2011-12-30,NOH,PHX,240:00,26.0,90.0,0.289,3.0,14.0,0.214,23.0,28.0,0.821,24.0,33.0,57.0,14.0,4.0,5.0,13.0,24.0,78.0,28.0,23.0,6.0,6.0,14.0,240:00,33.0,78.0,0.423,7.0,23.0,0.304,20.0,22.0,0.909,10.0,37.0,47.0,22.0,3.0,10.0,10.0,22.0,93.0,38.0,13.0,17.0,18.0,6.0
2011-12,0021100045,2011-12-30,MIA,MIN,240:00,46.0,93.0,0.495,3.0,14.0,0.214,8.0,14.0,0.571,9.0,33.0,42.0,29.0,14.0,6.0,15.0,21.0,103.0,34.0,15.0,8.0,5.0,31.0,240:00,39.0,83.0,0.47,11.0,29.0,0.379,12.0,20.0,0.6,12.0,37.0,49.0,21.0,11.0,4.0,25.0,22.0,101.0,40.0,4.0,27.0,13.0,25.0
2011-12,0021100046,2011-12-30,MIL,WAS,240:00,39.0,73.0,0.534,8.0,20.0,0.4,16.0,25.0,0.64,10.0,40.0,50.0,26.0,5.0,7.0,20.0,19.0,102.0,32.0,18.0,6.0,1.0,16.0,240:00,30.0,85.0,0.353,7.0,18.0,0.389,14.0,19.0,0.737,9.0,26.0,35.0,19.0,9.0,5.0,14.0,22.0,81.0,40.0,8.0,20.0,26.0,27.0
2011-12,0021100047,2011-12-30,DAL,TOR,240:00,32.0,72.0,0.444,7.0,25.0,0.28,28.0,38.0,0.737,7.0,33.0,40.0,21.0,11.0,4.0,10.0,13.0,99.0,30.0,8.0,8.0,7.0,22.0,240:00,33.0,72.0,0.458,6.0,14.0,0.429,14.0,18.0,0.778,5.0,33.0,38.0,20.0,8.0,1.0,17.0,23.0,86.0,26.0,7.0,11.0,13.0,11.0
2011-12,0021100048,2011-12-30,PHI,UTA,240:00,37.0,77.0,0.481,4.0,13.0,0.308,21.0,29.0,0.724,7.0,33.0,40.0,19.0,7.0,3.0,12.0,22.0,99.0,42.0,13.0,20.0,13.0,10.0,240:00,35.0,79.0,0.443,6.0,16.0,0.375,26.0,33.0,0.788,9.0,32.0,41.0,17.0,8.0,9.0,11.0,23.0,102.0,38.0,17.0,16.0,8.0,16.0
2011-12,0021100049,2011-12-30,CHI,LAC,240:00,39.0,78.0,0.5,7.0,17.0,0.412,29.0,34.0,0.853,15.0,30.0,45.0,29.0,4.0,2.0,12.0,19.0,114.0,46.0,15.0,9.0,8.0,13.0,240:00,41.0,80.0,0.513,7.0,15.0,0.467,12.0,20.0,0.6,9.0,22.0,31.0,26.0,6.0,3.0,11.0,22.0,101.0,40.0,19.0,10.0,15.0,11.0
2011-12,0021100050,2011-12-31,DEN,LAL,240:00,34.0,80.0,0.425,7.0,26.0,0.269,14.0,22.0,0.636,8.0,28.0,36.0,22.0,11.0,5.0,14.0,17.0,89.0,32.0,13.0,19.0,6.0,14.0,240:00,39.0,86.0,0.453,2.0,24.0,0.083,12.0,15.0,0.8,14.0,36.0,50.0,24.0,6.0,4.0,19.0,20.0,92.0,46.0,21.0,8.0,7.0,23.0
2011-12,0021100051,2011-12-31,DET,IND,240:00,39.0,82.0,0.476,8.0,15.0,0.533,10.0,13.0,0.769,10.0,39.0,49.0,25.0,4.0,2.0,18.0,23.0,96.0,48.0,11.0,16.0,19.0,20.0,240:00,30.0,76.0,0.395,5.0,15.0,0.333,23.0,28.0,0.821,6.0,30.0,36.0,17.0,14.0,5.0,11.0,19.0,88.0,40.0,12.0,11.0,3.0,10.0
2011-12,0021100052,2011-12-31,ATL,HOU,240:00,35.0,80.0,0.438,4.0,16.0,0.25,10.0,16.0,0.625,6.0,34.0,40.0,16.0,4.0,6.0,12.0,14.0,84.0,50.0,7.0,12.0,0.0,18.0,240:00,38.0,82.0,0.463,9.0,19.0,0.474,10.0,13.0,0.769,11.0,34.0,45.0,26.0,7.0,6.0,12.0,18.0,95.0,40.0,14.0,16.0,17.0,10.0
2011-12,0021100053,2011-12-31,OKC,PHX,240:00,41.0,77.0,0.532,9.0,22.0,0.409,16.0,18.0,0.889,8.0,37.0,45.0,25.0,9.0,6.0,21.0,27.0,107.0,54.0,12.0,21.0,24.0,21.0,240:00,35.0,88.0,0.398,8.0,26.0,0.308,19.0,23.0,0.826,13.0,24.0,37.0,19.0,9.0,7.0,12.0,16.0,97.0,42.0,15.0,5.0,0.0,13.0
2011-12,0021100054,2011-12-31,NYK,SAC,240:00,40.0,89.0,0.449,10.0,28.0,0.357,24.0,27.0,0.889,17.0,26.0,43.0,26.0,7.0,6.0,12.0,35.0,114.0,46.0,28.0,8.0,29.0,15.0,240:00,30.0,86.0,0.349,6.0,22.0,0.273,26.0,41.0,0.634,22.0,29.0,51.0,15.0,7.0,2.0,12.0,22.0,92.0,42.0,22.0,9.0,5.0,14.0
2011-12,0021100055,2011-12-31,SAS,UTA,240:00,36.0,74.0,0.486,10.0,16.0,0.625,22.0,31.0,0.71,5.0,41.0,46.0,26.0,4.0,5.0,19.0,21.0,104.0,48.0,17.0,19.0,0.0,10.0,240:00,33.0,89.0,0.371,2.0,16.0,0.125,21.0,25.0,0.84,14.0,30.0,44.0,11.0,13.0,9.0,7.0,25.0,89.0,36.0,9.0,16.0,27.0,13.0
2011-12,0021100056,2011-12-31,GSW,PHI,240:00,34.0,89.0,0.382,4.0,17.0,0.235,7.0,12.0,0.583,16.0,32.0,48.0,20.0,7.0,2.0,14.0,22.0,79.0,42.0,15.0,8.0,13.0,24.0,240:00,39.0,79.0,0.494,11.0,20.0,0.55,18.0,31.0,0.581,10.0,38.0,48.0,29.0,12.0,6.0,12.0,17.0,107.0,36.0,13.0,19.0,28.0,15.0
2011-12,0021100057,2012-01-01,BOS,WAS,240:00,37.0,74.0,0.5,5.0,12.0,0.417,15.0,23.0,0.652,8.0,33.0,41.0,26.0,7.0,5.0,16.0,20.0,94.0,38.0,8.0,19.0,2.0,12.0,240:00,32.0,78.0,0.41,2.0,16.0,0.125,20.0,23.0,0.87,10.0,29.0,39.0,15.0,9.0,8.0,14.0,21.0,86.0,38.0,11.0,11.0,19.0,16.0
2011-12,0021100058,2012-01-01,ORL,TOR,240:00,37.0,75.0,0.493,12.0,27.0,0.444,16.0,24.0,0.667,8.0,25.0,33.0,20.0,4.0,6.0,12.0,22.0,102.0,38.0,10.0,10.0,16.0,16.0,240:00,32.0,70.0,0.457,5.0,13.0,0.385,27.0,29.0,0.931,5.0,28.0,33.0,23.0,4.0,2.0,11.0,27.0,96.0,36.0,15.0,9.0,7.0,15.0
2011-12,0021100059,2012-01-01,CHA,MIA,240:00,35.0,92.0,0.38,6.0,18.0,0.333,14.0,21.0,0.667,11.0,29.0,40.0,20.0,9.0,3.0,16.0,20.0,90.0,58.0,8.0,30.0,46.0,10.0,240:00,48.0,80.0,0.6,7.0,11.0,0.636,26.0,31.0,0.839,5.0,42.0,47.0,33.0,10.0,3.0,15.0,18.0,129.0,38.0,11.0,11.0,0.0,16.0
2011-12,0021100060,2012-01-01,CLE,NJN,240:00,38.0,78.0,0.487,16.0,26.0,0.615,6.0,11.0,0.545,10.0,26.0,36.0,24.0,11.0,10.0,20.0,26.0,98.0,36.0,15.0,11.0,18.0,15.0,240:00,27.0,71.0,0.38,7.0,22.0,0.318,21.0,28.0,0.75,8.0,24.0,32.0,16.0,11.0,6.0,21.0,16.0,82.0,26.0,8.0,5.0,7.0,25.0
2011-12,0021100061,2012-01-01,DAL,MIN,240:00,29.0,77.0,0.377,7.0,24.0,0.292,17.0,21.0,0.81,6.0,29.0,35.0,17.0,11.0,9.0,17.0,22.0,82.0,32.0,9.0,24.0,5.0,23.0,240:00,36.0,85.0,0.424,10.0,22.0,0.455,17.0,24.0,0.708,17.0,37.0,54.0,15.0,7.0,3.0,16.0,17.0,99.0,32.0,19.0,4.0,17.0,21.0
2011-12,0021100062,2012-01-01,CHI,MEM,240:00,39.0,84.0,0.464,5.0,13.0,0.385,21.0,29.0,0.724,17.0,38.0,55.0,24.0,10.0,12.0,14.0,15.0,104.0,48.0,16.0,33.0,46.0,15.0,240:00,26.0,84.0,0.31,1.0,9.0,0.111,11.0,14.0,0.786,14.0,26.0,40.0,13.0,10.0,4.0,16.0,18.0,64.0,28.0,12.0,13.0,2.0,21.0
