AwayScore,CompType,Date,GameDes,GameID,Home,HomeScore,OU,Spread,Visitor,away3PA,away3PM,away3PP,awayAST,awayBLK,awayDREB,awayFGA,awayFGM,awayFGP,awayFTA,awayFTM,awayFTP,awayLARGESTLEAD,awayMin,awayOREB,awayPF,awayPTS,awayPTS2NDCHANCE,awayPTSFB,awayPTSOFFTOV,awayPTSPAINT,awayREB,awaySTL,awayTOV,awayTeam,home3PA,home3PM,home3PP,homeAST,homeBLK,homeDREB,homeFGA,homeFGM,homeFGP,homeFTA,homeFTM,homeFTP,homeLARGESTLEAD,homeMin,homeOREB,homePF,homePTS,homePTS2NDCHANCE,homePTSFB,homePTSOFFTOV,homePTSPAINT,homeREB,homeSTL,homeTOV,homeTeam,season
104.0,Regular Season,2011-12-25,Boston at New York,21100001,New York,106.0,190.5,-5.0,Boston,5.0,2.0,0.4,28.0,5.0,28.0,76.0,39.0,0.513,31.0,24.0,0.774,10.0,240:00,13.0,28.0,104.0,14.0,16.0,18.0,48.0,41.0,7.0,18.0,Boston,20.0,9.0,0.45,17.0,11.0,23.0,74.0,35.0,0.473,34.0,27.0,0.794,17.0,240:00,8.0,25.0,106.0,15.0,8.0,23.0,30.0,31.0,9.0,16.0,New York,2011-12
105.0,Regular Season,2011-12-25,Miami at Dallas,21100002,Dallas,94.0,188.5,4.5,Miami,7.0,4.0,0.571,18.0,6.0,36.0,78.0,38.0,0.487,36.0,25.0,0.694,35.0,240:00,15.0,28.0,105.0,10.0,31.0,29.0,44.0,51.0,9.0,22.0,Miami,28.0,9.0,0.321,23.0,0.0,23.0,82.0,31.0,0.378,30.0,23.0,0.767,0.0,240:00,8.0,29.0,94.0,8.0,10.0,25.0,28.0,31.0,10.0,17.0,Dallas,2011-12
88.0,Regular Season,2011-12-25,Chicago at L.A. Lakers,21100003,L.A. Lakers,87.0,183.5,4.5,Chicago,15.0,7.0,0.467,21.0,4.0,25.0,89.0,36.0,0.404,14.0,9.0,0.643,11.0,240:00,16.0,21.0,88.0,16.0,10.0,17.0,42.0,41.0,14.0,14.0,Chicago,16.0,4.0,0.25,22.0,8.0,30.0,76.0,36.0,0.474,20.0,11.0,0.55,8.0,240:00,12.0,20.0,87.0,12.0,12.0,13.0,42.0,42.0,6.0,17.0,L.A. Lakers,2011-12
89.0,Regular Season,2011-12-25,Orlando at Oklahoma City,21100004,Oklahoma City,97.0,194.5,-7.5,Orlando,28.0,8.0,0.286,18.0,4.0,31.0,81.0,30.0,0.37,26.0,21.0,0.808,22.0,240:00,14.0,25.0,89.0,7.0,9.0,15.0,32.0,45.0,7.0,18.0,Orlando,19.0,10.0,0.526,21.0,5.0,36.0,72.0,34.0,0.472,26.0,19.0,0.731,7.0,240:00,7.0,22.0,97.0,5.0,8.0,14.0,30.0,43.0,8.0,16.0,Oklahoma City,2011-12
105.0,Regular Season,2011-12-25,L.A. Clippers at Golden State,21100005,Golden State,86.0,207.5,6.0,L.A. Clippers,23.0,8.0,0.348,22.0,8.0,30.0,81.0,37.0,0.457,38.0,23.0,0.605,19.0,240:00,13.0,19.0,105.0,10.0,9.0,5.0,38.0,43.0,9.0,10.0,L.A. Clippers,21.0,5.0,0.238,17.0,8.0,31.0,82.0,32.0,0.39,24.0,17.0,0.708,6.0,240:00,17.0,32.0,86.0,18.0,11.0,19.0,46.0,48.0,4.0,16.0,Golden State,2011-12
90.0,Regular Season,2011-12-26,Brooklyn at Washington,21100006,Washington,84.0,189.0,-3.5,Brooklyn,26.0,6.0,0.231,17.0,3.0,40.0,86.0,34.0,0.395,20.0,16.0,0.8,8.0,240:00,18.0,26.0,90.0,16.0,2.0,19.0,28.0,58.0,7.0,15.0,Brooklyn,7.0,1.0,0.143,13.0,7.0,31.0,74.0,31.0,0.419,34.0,21.0,0.618,21.0,240:00,8.0,17.0,84.0,6.0,12.0,12.0,38.0,39.0,8.0,11.0,Washington,2011-12
95.0,Regular Season,2011-12-26,Milwaukee at Charlotte,21100007,Charlotte,96.0,178.0,4.0,Milwaukee,23.0,8.0,0.348,21.0,2.0,31.0,84.0,34.0,0.405,23.0,19.0,0.826,9.0,240:00,8.0,20.0,95.0,12.0,16.0,19.0,32.0,39.0,6.0,12.0,Milwaukee,19.0,4.0,0.211,27.0,6.0,37.0,86.0,38.0,0.442,21.0,16.0,0.762,14.0,240:00,15.0,20.0,96.0,15.0,9.0,17.0,36.0,52.0,3.0,16.0,Charlotte,2011-12
95.0,Regular Season,2011-12-26,Houston at Orlando,21100008,Orlando,104.0,195.0,-6.5,Houston,27.0,6.0,0.222,26.0,5.0,30.0,82.0,36.0,0.439,20.0,17.0,0.85,12.0,240:00,11.0,17.0,95.0,16.0,8.0,14.0,56.0,41.0,4.0,9.0,Houston,22.0,9.0,0.409,19.0,4.0,29.0,83.0,44.0,0.53,10.0,7.0,0.7,2.0,240:00,6.0,15.0,104.0,16.0,11.0,12.0,38.0,35.0,1.0,11.0,Orlando,2011-12
104.0,Regular Season,2011-12-26,Toronto at Cleveland,21100009,Cleveland,96.0,194.0,-2.0,Toronto,21.0,9.0,0.429,35.0,9.0,34.0,79.0,42.0,0.532,13.0,11.0,0.846,15.0,240:00,11.0,22.0,104.0,19.0,0.0,13.0,48.0,45.0,4.0,12.0,Toronto,20.0,6.0,0.3,21.0,1.0,22.0,85.0,35.0,0.412,28.0,20.0,0.714,4.0,240:00,15.0,16.0,96.0,16.0,11.0,7.0,44.0,37.0,7.0,7.0,Cleveland,2011-12
79.0,Regular Season,2011-12-26,Detroit at Indiana,21100010,Indiana,91.0,192.0,-7.5,Detroit,19.0,7.0,0.368,17.0,8.0,31.0,75.0,27.0,0.36,21.0,18.0,0.857,24.0,240:00,9.0,19.0,79.0,14.0,13.0,10.0,36.0,40.0,5.0,16.0,Detroit,15.0,7.0,0.467,20.0,9.0,35.0,87.0,32.0,0.368,25.0,20.0,0.8,0.0,240:00,18.0,20.0,91.0,11.0,9.0,15.0,28.0,53.0,9.0,10.0,Indiana,2011-12
104.0,Regular Season,2011-12-26,Oklahoma City at Minnesota,21100011,Minnesota,100.0,206.5,5.5,Oklahoma City,16.0,5.0,0.313,18.0,5.0,34.0,78.0,35.0,0.449,31.0,29.0,0.935,12.0,240:00,8.0,26.0,104.0,8.0,20.0,15.0,36.0,42.0,6.0,17.0,Oklahoma City,22.0,3.0,0.136,22.0,2.0,30.0,87.0,39.0,0.448,26.0,19.0,0.731,7.0,240:00,10.0,24.0,100.0,13.0,15.0,15.0,60.0,40.0,4.0,12.0,Minnesota,2011-12
115.0,Regular Season,2011-12-26,Denver at Dallas,21100012,Dallas,93.0,200.5,-5.0,Denver,27.0,10.0,0.37,18.0,3.0,37.0,79.0,39.0,0.494,34.0,27.0,0.794,33.0,240:00,10.0,18.0,115.0,10.0,20.0,14.0,40.0,47.0,15.0,15.0,Denver,27.0,8.0,0.296,19.0,3.0,32.0,76.0,32.0,0.421,27.0,21.0,0.778,3.0,240:00,5.0,28.0,93.0,8.0,12.0,26.0,34.0,37.0,11.0,19.0,Dallas,2011-12
82.0,Regular Season,2011-12-26,Memphis at San Antonio,21100013,San Antonio,95.0,193.5,-5.0,Memphis,7.0,3.0,0.429,18.0,2.0,33.0,73.0,34.0,0.466,19.0,11.0,0.579,10.0,240:00,9.0,25.0,82.0,9.0,17.0,28.0,36.0,42.0,9.0,24.0,Memphis,33.0,10.0,0.303,23.0,5.0,25.0,88.0,35.0,0.398,22.0,15.0,0.682,19.0,240:00,12.0,20.0,95.0,14.0,15.0,14.0,38.0,37.0,13.0,13.0,San Antonio,2011-12
85.0,Regular Season,2011-12-26,New Orleans at Phoenix,21100014,Phoenix,84.0,192.0,-6.0,New Orleans,16.0,2.0,0.125,10.0,5.0,35.0,79.0,35.0,0.443,21.0,13.0,0.619,6.0,240:00,12.0,22.0,85.0,23.0,14.0,15.0,36.0,47.0,9.0,13.0,New Orleans,25.0,5.0,0.2,23.0,3.0,33.0,81.0,32.0,0.395,19.0,15.0,0.789,9.0,240:00,12.0,24.0,84.0,14.0,13.0,15.0,42.0,45.0,9.0,14.0,Phoenix,2011-12
91.0,Regular Season,2011-12-26,L.A. Lakers at Sacramento,21100015,Sacramento,100.0,193.5,3.0,L.A. Lakers,16.0,1.0,0.063,21.0,6.0,29.0,88.0,37.0,0.42,19.0,16.0,0.842,4.0,240:00,16.0,25.0,91.0,17.0,12.0,6.0,44.0,45.0,6.0,11.0,L.A. Lakers,18.0,9.0,0.5,16.0,6.0,30.0,75.0,35.0,0.467,35.0,21.0,0.6,15.0,240:00,10.0,19.0,100.0,10.0,19.0,15.0,30.0,40.0,4.0,11.0,Sacramento,2011-12
