Date,GameDes,CompType,Visitor,Home,AwayScore,HomeScore,OU,Spread
2011-12-16 19:00:00,Philadelphia at Washington,Pre-Season,Philadelphia,Washington,103.0,78.0,187.5,2.0
2011-12-16 19:00:00,Chicago at Indiana,Pre-Season,Chicago,Indiana,95.0,86.0,185.5,4.0
2011-12-16 19:30:00,Cleveland at Detroit,Pre-Season,Cleveland,Detroit,91.0,87.0,191.5,-5.5
2011-12-16 20:00:00,New Orleans at Memphis,Pre-Season,New Orleans,Memphis,97.0,90.0,183.0,-9.0
2011-12-17 14:00:00,New York at Brooklyn,Pre-Season,New York,Brooklyn,92.0,83.0,194.5,5.5
2011-12-17 20:00:00,San Antonio at Houston,Pre-Season,San Antonio,Houston,87.0,101.0,187.5,-2.5
2011-12-17 20:00:00,Milwaukee at Minnesota,Pre-Season,Milwaukee,Minnesota,96.0,117.0,189.0,-5.5
2011-12-17 22:30:00,Sacramento at Golden State,Pre-Season,Sacramento,Golden State,96.0,107.0,202.5,-5.0
2011-12-18 13:00:00,Boston at Toronto,Pre-Season,Boston,Toronto,76.0,75.0,193.5,5.0
2011-12-18 18:00:00,Orlando at Miami,Pre-Season,Orlando,Miami,85.0,118.0,190.5,-5.0
2011-12-18 19:30:00,Oklahoma City at Dallas,Pre-Season,Oklahoma City,Dallas,106.0,92.0,194.0,-2.5
2011-12-19 19:00:00,Atlanta at Charlotte,Pre-Season,Atlanta,Charlotte,77.0,79.0,184.0,4.5
2011-12-19 22:00:00,Utah at Portland,Pre-Season,Utah,Portland,90.0,110.0,192.5,-9.0
2011-12-19 22:30:00,L.A. Clippers at L.A. Lakers,Pre-Season,L.A. Clippers,L.A. Lakers,114.0,95.0,197.0,-3.0
2011-12-20 19:00:00,Washington at Philadelphia,Pre-Season,Washington,Philadelphia,94.0,101.0,187.0,-8.0
2011-12-20 19:00:00,Detroit at Cleveland,Pre-Season,Detroit,Cleveland,90.0,89.0,187.0,-3.0
