ix,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
99999,1,Roland Garros,Clay,0,0,0,0,104918,,,Andy Murray,R,190,GBR,28.7939767283,2,8765,105723,,,Andrey Kuznetsov,R,185,RUS,25.5550992471,47,998,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100000,1,Roland Garros,Clay,0,0,0,0,106362,,WC,Laurent Lokoli,U,,FRA,20.2929500342,214,224,105373,,,Martin Klizan,L,190,SVK,27.3073237509,35,1230,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100001,1,Roland Garros,Clay,0,0,0,0,104571,,,Marcos Baghdatis,R,183,CYP,31.3730321697,37,1115,104597,,,Nicolas Almagro,R,183,ESP,31.1950718686,44,1013,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100002,1,Roland Garros,Clay,0,0,0,0,105550,,,Guido Pella,L,,ARG,26.3244353183,49,908,105223,,,Juan Martin Del Potro,R,198,ARG,27.9698836413,64,770,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100003,1,Roland Garros,Clay,0,0,0,0,104545,,,John Isner,R,206,USA,31.2087611225,16,2055,111442,,,Jordan Thompson,R,,AUS,22.4366872005,98,613,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100004,1,Roland Garros,Clay,0,0,0,0,104731,,,Kevin Anderson,R,203,RSA,30.4366872005,52,850,104291,,,Malek Jaziri,R,185,TUN,32.1095140315,107,524,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100005,1,Roland Garros,Clay,0,0,0,0,105023,,,Sam Querrey,R,198,USA,29.0102669405,29,1375,111202,,,Hyeon Chung,R,,KOR,19.780971937,63,764,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100006,1,Roland Garros,Clay,0,0,0,0,104527,3,,Stanislas Wawrinka,R,183,SUI,31.6331279945,3,5115,106075,,,Jozef Kovalik,R,,SVK,23.8548939083,123,512,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100007,1,Roland Garros,Clay,0,0,0,0,106423,,,Thanasi Kokkinakis,R,,AUS,19.4277891855,72,704,105453,,,Kei Nishikori,R,178,JPN,26.1683778234,6,4030,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100008,1,Roland Garros,Clay,0,0,0,0,111575,,WC,Karen Khachanov,R,,RUS,20.4271047228,63,791,111797,,,Nicolas Jarry,R,,CHI,20.9226557153,423,97,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100009,1,Roland Garros,Clay,0,0,0,0,124014,,,Ernesto Escobedo,R,,USA,20.1533196441,201,277,104797,,,Denis Istomin,R,188,UZB,30.0150581793,113,550,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100010,1,Roland Garros,Clay,0,0,0,0,105430,,,Radu Albot,R,,MDA,26.932238193,103,596,104871,,,Jeremy Chardy,R,188,FRA,29.5441478439,55,825,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100011,1,Roland Garros,Clay,0,0,0,0,105238,,,Alexandr Dolgopolov,R,180,UKR,27.8083504449,57,815,104122,,,Carlos Berlocq,R,183,ARG,33.568788501,76,702,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100012,1,Roland Garros,Clay,0,0,0,0,106329,,,Thiago Monteiro,L,,BRA,22.2861054073,101,608,104180,,,Gilles Muller,L,193,LUX,33.4811772758,34,1255,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100013,1,Roland Garros,Clay,0,0,0,0,104460,,,Dustin Brown,R,196,GER,31.8576317591,74,722,104792,,,Gael Monfils,R,193,FRA,29.4948665298,17,1950,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100014,1,Roland Garros,Clay,0,0,0,0,104542,,,Jo Wilfried Tsonga,R,188,FRA,31.2334017796,10,2995,105952,,,Renzo Olivo,R,,ARG,23.9589322382,167,336,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
100015,1,Roland Garros,Clay,0,0,0,0,106378,,,Kyle Edmund,R,,GBR,21.5058179329,67,768,105671,,,Gastao Elias,R,178,POR,25.2648870637,121,480,6-4 6-3,3,R64,63,11,2,63,42,32,11,10,2,2,4,5,45,26,21,9,9,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
